Name,Coating,Material,Thickness,State,Weight,Art,Fgrp,Pos,VariantRule,Row.PartNumber,Row.Quantity,Row.HasCADMatch,Row.CADPart.Id,Row.CADPart.CarryOver,Row.CADPart.KdpMatch
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8210,50,V536310VSOPCHPLV,30622598,4.0,True,id323150,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8210,50,V536310VSOPCHPLV,30622598,4.0,True,id323159,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8210,50,V536310VSOPCHPLV,30622598,4.0,True,id323185,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8210,50,V536310VSOPCHPLV,30622598,4.0,True,id323190,False,OK
PartBody,,VDA 239-CR300LA,,0,30.5600693076166,700,8210,50,V536310VSOPCHPLV,31424967,2.0,True,id323099,False,OK Inherited
PartBody,,VDA 239-CR300LA,,0,30.5600693076166,700,8210,50,V536310VSOPCHPLV,31424967,2.0,True,id323127,False,OK Inherited
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8250,10,V536310VSOPCHPLV,30622598,12.0,True,id327083,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8250,10,V536310VSOPCHPLV,30622598,12.0,True,id327088,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8250,10,V536310VSOPCHPLV,30622598,12.0,True,id327093,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8250,10,V536310VSOPCHPLV,30622598,12.0,True,id327098,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8250,10,V536310VSOPCHPLV,30622598,12.0,True,id327103,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8250,10,V536310VSOPCHPLV,30622598,12.0,True,id327108,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8250,10,V536310VSOPCHPLV,30622598,12.0,True,id327113,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8250,10,V536310VSOPCHPLV,30622598,12.0,True,id327118,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8250,10,V536310VSOPCHPLV,30622598,12.0,True,id327123,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8250,10,V536310VSOPCHPLV,30622598,12.0,True,id327128,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8250,10,V536310VSOPCHPLV,30622598,12.0,True,id327133,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8250,10,V536310VSOPCHPLV,30622598,12.0,True,id327138,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8250,10,V536310VSOPCHPLV,30622598,12.0,True,id327276,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,8.64789354120588,700,8250,10,V536310VSOPCHPLV,30622598,12.0,True,id327377,False,OK
PartBody,N/A,PA66 GF50,2.5mm,0,799.458,700,8250,10,V536310VSOPCHPLV,32297507,1.0,True,id327327,False,OK Inherited
PartBody,,"Aluminium XXXX,XX_STD XXXX,XX",,0,1.98617688535636,700,8250,10,V536310VSOPCHPLV,32297507,1.0,True,id327336,False,OK Inherited
