PCT Varianter;PLMXML Varianter
-707;-735
-MFK 31;-MFK 10
0;-USER
-USER;0
1234YF;0L
1EDT;1234YF
265/45 1;1EDT
295R40 1;265/40 2
5/7 SEAT;295R35 2
7SEAT;5/7 SEAT
ACC PA;7SEAT
ACTSP;ACC PA
ADM HIGH;ACTSP
AL90X21D;ADM HIGH
ALARM;AIDKIT2
AQS3;AL90X22D
AR10X21D;ALARM
AUDIO 2;ALOGBASE
BELT A;AQS
BEV;AQUABL
BLISCTA;AR10X22D
CCD INT;AUDIO 3
CHARLEST;AWD
CHAS ACT;BELT B
CHSEAT C;BEV
COLOURED;BLISCTA
COM 110;BLK DEC2
CRPKIT H;BUMP BHS
CSDECAL1;CCD INT
CUSHEX;CHARLEST
DBAG A10;CHAS ACT
DHU 12;CHATT
DMS;COM 110
DPOW;CORD 2J
DTPMSX;COSPAB
ECAS42;COVER
ECC 4;CRPKIT H
EFAD 1;CUSHEX
EMB V536;DAB
ERAD 1;DABRAD
EVI 1X;DBAG B10
EXT707;DHU 11
EXTCOL;DMS
FMDM;DPOW
FX20;DTPMSX
GHUD 3;E400V7
H5 AGM02;ECAS42
HBAT 11;ECC 4
HDSRAD;EFAD 1
HEATPUMP;EMB P10
HEATSTER;EMB V536
HEMBLEM;ERAD 1
HLC;EU
HLINK;EU/OS
HVCH;EVI 2X
HWP1;FMDM
INCHARGE;FX20
INT CHAR;GHUD 3
INTILL 3;H5 AGM02
KBXD1P1;HBAT 11
KEYLESS4;HEATPUMP
LAMGLAS;HEMBLEM
LCSP;HLC
LHD;HRDGLAS
LHMIR2;HVCH
LOCK CL2;INCHARGE
LUMB 4W;INT CHAR
MASSAGE;INTILL 3
MECHORN;ISOFIX B
MI HAS B;KEYLESS4
MIRINN1;L DPOW
MOULCOL2;LCOV S
MSM 3;LCSP
N AIDKIT;LED HDB
N AUS;LHD
N CHATT;LHMIR1
N COSPAB;LOADNET
N COVER;LOCK DL
N DAB;LOCKBOLT
N DCOV;LUMB 4W
N DSRC;MECHORN
N EMBLEM;METALLIC
N ENG;MIR4
N FIREXT;MIRINN1
N FLBR;MOULCOL2
N LBOLT;MSM 3
N LCOV;N ARAB
N LNET;N AUS
N TRIANG;N BRAZ
N VENTS;N CA/MID
N XCC;N CDN
NPADAPT3;N CHENGD
OBC;N CHI
OPEN2;N CHSEAT
OWS;N CSDEC
PAC360;N DCOV
PANOFIX;N DSRC
PAP G4;N EMISS
PBAG A11;N EVAP
PED STD;N FIREXT
PHKEY4;N FLBR
PPOW;N FPUMP
PSIDE;N GPF
RA900G;N HAD
RAILS GB;N HEATFR
RB20;N HEATST
REPKIT;N HLINK
RHMIR2;N HOLD
ROOF CHA;N ICE
ROOFAB;N IND
RSHEAT;N J
RVAC;N J/C/K
SAE PROJ;N J/CHI
SEAT MZW;N KB
SHANDLE3;N KOR
STCOL EA;N LA/RU
STDPAD;N MASSAG
STS;N OCCS
SVDECAL1;N PSIDE
SW HIGH;N ROOFAB
TAILORED;N RSHEAT
TCAM2 6;N RUSSIA
TEXTILE3;N STS
TINWIN;N TINWIN
TPMS LU;N TRK
TRM;N US/CDN
US SYM;N USA
USA/CDN;N VENTS
USHOLD;N WVTA
V536;N XBATT
WETARM;N XCC
WOODP 23;N/A 3Z
;N/A 6F
;NMAS/NVE
;NPADAPT2
;OBC
;OPEN1
;PAC360
;PANOFIX
;PAP G4
;PBAG B10
;PED STD
;PHKEY4
;PI V B
;PPOW
;PPS
;PTC
;R ASYM
;R PPOW
;RA900G
;RAILS GB
;RB20
;REPKIT
;RHMIR1
;ROOF CHA
;RVAC
;SEAT MZW
;SET-EU
;SHANDLE1
;SRS 1
;STCOL EB
;STDPAD
;SVDECAL4
;SW HIGH
;TAILORED
;TCAM2 1
;TEXTILE3
;TOWBAR
;TPMS LE
;TRANSP
;TRIANGLE
;TRM13F
;V536
;WOODP 23
