,VARIANTS
141,-707
134,-MFK 31
140,-R330
114,265/45 1
117,295R40 1
112,AL90X21D
76,AQS3
111,AR10X21D
62,AUDIO 2
24,BELT A
92,CHSEAT C
33,COLOURED
155,CSDECAL1
26,DBAG A10
167,DHU 12
6,EVI 1X
37,EXT707
34,EXTCOL
59,HDSRAD
109,HEATSTER
98,HLINK
46,HWP1
28,KBXD1P1
128,LAMGLAS
65,LHMIR2
72,LOCK CL2
81,MASSAGE
113,MI HAS B
96,N AIDKIT
91,N CHATT
23,N COSPAB
53,N COVER
61,N DAB
127,N EMBLEM
4,N ENG
116,N LBOLT
97,N LCOV
90,N LNET
125,N TRIANG
150,NPADAPT3
69,OPEN2
29,OWS
25,PBAG A11
87,PSIDE
66,RHMIR2
31,ROOFAB
85,RSHEAT
50,SAE PROJ
121,SHANDLE3
108,STCOL EA
22,STS
156,SVDECAL1
58,TCAM2 6
68,TINWIN
105,TPMS LU
144,TRM
49,US SYM
135,USA/CDN
122,USHOLD
120,WETARM
