Program,Control Model,Product Area,Part Number,Part Description,Program Quantity of parts,Updated By,Reason for update,Ref Quantity,Supplier Info,Fgrp,Pos
V536,2,ART REMOTE FUNCTIONS,32375075.0,DHU ROYALTY FOR HMI TOOL,1.0,TNETSHAG,MAXBOM first publish,0.0,AEZKD,3931,400
V536,2,ART REMOTE FUNCTIONS,,DOUBAN FM,0.0,SYSTEM,Price imported from SI+/epic,1.0,AEAXM,null,null
V536,2,ART REMOTE FUNCTIONS,,QINGTING,0.0,SYSTEM,Price imported from SI+/epic,1.0,AEAW8,null,null
V536,2,ART ACTIVE SAFETY FUNCTION,30640943.0,"SIX POINT SOCKET SCREW ST4,8*22",2.0,SYSTEM,Price imported from SI+/epic,0.0,AEKIF,3877,050
V536,2,ART ACTIVE SAFETY FUNCTION,32286312.0,DRIVER MONITORING CAMERA DMCI LHD,1.0,SYSTEM,Price Imported from SI+/Epic,0.0,AYSPA,3877,050
V536,2,ART ACTIVE SAFETY FUNCTION,32271869.0,RADAR FSRX,1.0,DWETTERB,First price in maxbom.,0.0,C95YD,3875,010
V536,2,ART CONNECTIVITY PLATFORM,,LOAD MODULE VGM,0.0,,,1.0,,null,null
V536,2,ART CONNECTIVITY PLATFORM,,LOAD MODULE TCAM/MODEM,0.0,,,1.0,,null,null
V536,2,ART CONNECTIVITY PLATFORM,,ANTENNA LF,0.0,SYSTEM,Price imported from SI+/epic,1.0,AEJS1,null,null
V536,2,ART CONNECTIVITY PLATFORM,,CERTIFICATE TCAM,0.0,,,1.0,,null,null
V536,2,ART CONNECTIVITY PLATFORM,,CONTROL UNIT VGM,0.0,SYSTEM,Price imported from SI+/epic,1.0,AEZ8Q,null,null
V536,2,ART CONNECTIVITY PLATFORM,,CERTIFICATE TCAM,0.0,,,1.0,,null,null
V536,2,ART CONNECTIVITY PLATFORM,,SOFTWARE SIGNING,0.0,,,1.0,,null,null
V536,2,ART CORE SYSTEM PLATFORM,32395259.0,GATEWAY MODULE MID,2.0,HOLAUSS4,New part number release,0.0,G261Y,3683,020
V536,2,ART CORE SYSTEM PLATFORM,31684290.0,BRACKET GATEWAY MODULE,1.0,SYSTEM,Price imported from SI+/epic,0.0,BT7RA,3683,020
V536,2,ART CORE SYSTEM PLATFORM,31684292.0,PROTECTION COVER VCU,1.0,HOLAUSS4,Max Bom First publish,0.0,AE1PX,3682,010
V536,2,ART CORE SYSTEM PLATFORM,999234.0,FLANGE SCREW M6*25,3.0,SYSTEM,Price imported from SI+/epic,0.0,AEKIF,3682,010
V536,2,ART CORE SYSTEM PLATFORM,32326578.0,BRACKET GATEWAY MODULE,1.0,SYSTEM,Price imported from SI+/epic,0.0,BT7RA,3683,020
V536,2,ART CORE SYSTEM PLATFORM,32395260.0,GATEWAY MODULE FRONT,1.0,HOLAUSS4,new partnumber released,0.0,G261Y,3683,010
V536,2,ART CORE SYSTEM PLATFORM,30622536.0,SIX POINT SOCKET SCREW M5*14*16.5 MATHREAD,3.0,,,0.0,BZMDB,3683,010
V536,2,ART CORE SYSTEM PLATFORM,31684263.0,CONTROL UNIT VCU,1.0,JJUUL,Quanta Mexico Manufactoring ,0.0,AEPNI,3682,010
V536,2,ART CORE SYSTEM PLATFORM,31109078.0,SEALING PLATE 30 PV0,1.0,SYSTEM,Price imported from SI+/epic,0.0,BJRAB,3682,010
V536,2,ART CORE SYSTEM PLATFORM,31684288.0,BRACKET VCU,1.0,SYSTEM,Price imported from program,0.0,,3682,010
V536,2,ART COMMON BASE TECHNOLOGIES,,LOCAL CONFIGURATION CAR CONFIG LOGIC,0.0,,,1.0,,null,null
V536,2,ART PROTECTIVE SAFETY,32269168.0,ACCELEROMETER 2D,2.0,ELJUNGS1,One way packaging cost added into part price.,0.0,AEMRW,8862,135
V536,2,ART PROTECTIVE SAFETY,,SIGNAL CONFIGURATION RMR,0.0,,,1.0,,null,null
V536,2,ART PROTECTIVE SAFETY,,SIGNAL CONFIGURATION RML,0.0,,,1.0,,null,null
V536,2,ART PROTECTIVE SAFETY,,BOOTLOADER RMR,0.0,,,1.0,,null,null
V536,2,ART PROTECTIVE SAFETY,32269280.0,FRONT SENSOR UFS/PEDESTRIAN,4.0,ELJUNGS1,One way packaging cost added into part price.,0.0,AEMRW,8862,130
V536,2,ART PROTECTIVE SAFETY,32346410.0,SECONDARY BOOTLOADER RML,1.0,,,0.0,,8848,020
V536,2,ART PROTECTIVE SAFETY,,BOOTLOADER RML,0.0,,,1.0,,null,null
V536,2,ART PROTECTIVE SAFETY,32346411.0,SECONDARY BOOTLOADER RMR,1.0,,,0.0,,8848,025
V536,2,ART PROTECTIVE SAFETY,32346424.0,LOCAL PARAMETERS RML,1.0,,,0.0,,8848,030
V536,2,ART PROTECTIVE SAFETY,32346425.0,LOCAL PARAMETERS RMR,1.0,,,0.0,,8848,040
V536,2,ART PROTECTIVE SAFETY,30776072.0,SIX POINT SOCKET SCREW PF5*20,2.0,SYSTEM,Price imported from SI+/epic,0.0,AEKIF,8862,130
V536,2,ART PROTECTIVE SAFETY,32346769.0,SECONDARY BOOT LOADER SRSM,1.0,,,0.0,,8862,020
V536,2,ART PROTECTIVE SAFETY,999231.0,FLANGE SCREW M6*14,4.0,SYSTEM,Price imported from SI+/epic,4.0,AEKIF,8862,010
V536,2,ART PROTECTIVE SAFETY,,LOCAL PARAMETERS RMR,0.0,,,1.0,,null,null
V536,2,ART PROTECTIVE SAFETY,32246934.0,ACCELEROMETER SRSM,2.0,ELJUNGS1,One way packaging cost added into part price.,0.0,AEMRW,8862,100
V536,2,ART PROTECTIVE SAFETY,,LOCAL PARAMETERS RML,0.0,,,1.0,,null,null
V536,2,ART PROTECTIVE SAFETY,32246935.0,PRESSURE SENSOR SRSM,1.0,ELJUNGS1,One way packaging cost added into part price.,0.0,AETGK,8862,121
V536,2,ART PROTECTIVE SAFETY,30624367.0,FLANGE SCREW M6*25*28 MATHREAD,2.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,8862,135
V536,2,ART PROTECTIVE SAFETY,,PROTECTION COVER UP FRONT SENSOR,0.0,SYSTEM,Price imported from SI+/epic,2.0,BQ9CC,null,null
V536,2,ART PROTECTIVE SAFETY,30640579.0,SIX POINT SOCKET SCREW PF6*25,2.0,SYSTEM,Price imported from SI+/epic,0.0,AEKIF,8862,130
V536,2,ART PROTECTIVE SAFETY,,"BLIND RIVET 4,8*18,9",0.0,SYSTEM,Price imported from SI+/epic,4.0,D3M0A,null,null
V536,2,ART PROTECTIVE SAFETY,32346779.0,LOCAL PARAMETERS SRSM,1.0,,,0.0,,8862,040
V536,2,ART PROTECTIVE SAFETY,32283995.0,PRESSURE TUBE PEDESTRIAN,1.0,ELJUNGS1,MaxBom first publish,0.0,AEMRW,8862,130
V536,2,ART PROTECTIVE SAFETY,,"SEMS LOCK NUT M6*7,8",0.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,null,null
V536,2,ART PROTECTIVE SAFETY,32269942.0,CONTROL UNIT SRSM+SRSR (AD),1.0,ELJUNGS1,MaxBom first publish,0.0,AEMRX,8862,010
V536,2,ART PROTECTIVE SAFETY,32269946.0,LOAD MODULE SRSM,1.0,,,0.0,,8862,035
V536,2,ART PROTECTIVE SAFETY,999404.0,SIX POINT SOCKET SCREW PF5*22,2.0,SYSTEM,Price imported from SI+/epic,0.0,AEKIF,8862,111
V536,2,ART AD AND ADAS PLATFORM,,LOCAL PARAMETERS FLC,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,,LOCAL PARAMETERS ASDM,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,,CAMERA PAC360,0.0,SYSTEM,Price imported from SI+/epic,1.0,JTKMA,null,null
V536,2,ART AD AND ADAS PLATFORM,,LOAD MODULE FLR,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,,LOCAL PARAMETERS FLR,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,,LOCAL PARAMETERS SODR,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,,LOCAL PARAMETERS SODL,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,32294607.0,RADAR FLR,1.0,HLARSS12,New partnumber,0.0,AD8AA,3883,010
V536,2,ART AD AND ADAS PLATFORM,32327972.0,"SENSOR,UNCOLOURED 90 DEGREES",2.0,,,0.0,D25KE,3874,131
V536,2,ART AD AND ADAS PLATFORM,32327971.0,"SENSOR,UNCOLOURED 0 DEGREES",2.0,,,0.0,D25KE,3874,111
V536,2,ART AD AND ADAS PLATFORM,,"SENSOR,EXT707 LONG 90 GRADER",0.0,SYSTEM,Price imported from SI+/epic,2.0,AETGK,null,null
V536,2,ART AD AND ADAS PLATFORM,32410059.0,SECONDARY BOOTLOADER FLR,1.0,,,0.0,,3883,015
V536,2,ART AD AND ADAS PLATFORM,40008773.0,"SENSOR,EXT707 90 DEGREES",2.0,HLARSS12,First maxbom release,0.0,D25KE,3874,131
V536,2,ART AD AND ADAS PLATFORM,40008770.0,"SENSOR,SVART19S 90 DEGREES",2.0,AKUMLIN,price missing,0.0,D25KE,3874,121
V536,2,ART AD AND ADAS PLATFORM,,RADAR FLR,0.0,SYSTEM,Price imported from SI+/epic,1.0,BJQRB,null,null
V536,2,ART AD AND ADAS PLATFORM,,ASDM,0.0,SYSTEM,Price imported from SI+/epic,1.0,DDJ8A,null,null
V536,2,ART AD AND ADAS PLATFORM,32327563.0,GLARE SHIELD,1.0,SYSTEM,Price Imported from SI+/Epic,0.0,BPXJA,3885,010
V536,2,ART AD AND ADAS PLATFORM,,SECONDARY BOOTLOADER WAM,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,,LOAD MODULE ASDM,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,,ASDM LICENCE,0.0,SYSTEM,Price imported from SI+/epic,1.0,DDJ8A,null,null
V536,2,ART AD AND ADAS PLATFORM,,LOAD MODULE ASDM,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,32358557.0,CAMERA FLCW/FLCL,1.0,KJOHAN43,Cost maturity Contract,0.0,BPXJA,3885,010
V536,2,ART AD AND ADAS PLATFORM,,CAMERA FLC,0.0,SYSTEM,Price imported from SI+/epic,1.0,BJQRB,null,null
V536,2,ART AD AND ADAS PLATFORM,32134990.0,LIDAR FLL,1.0,SYSTEM,Price imported from program,0.0,AE15Z,3884,010
V536,2,ART AD AND ADAS PLATFORM,,SOFTWARE SIGNING,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,32271745.0,BRACKET ADPM,1.0,SYSTEM,Price imported from program,0.0,AEWJZ,3880,010
V536,2,ART AD AND ADAS PLATFORM,32218512.0,SOFTWARE SIGNING,1.0,,,0.0,,3883,030
V536,2,ART AD AND ADAS PLATFORM,,"FLANGE SCREW M6*16*19,3 MATHREAD",0.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,null,null
V536,2,ART AD AND ADAS PLATFORM,,LOAD MODULE WAM,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,32243828.0,CAMERA PAC3D,1.0,SYSTEM,Price Imported from SI+/Epic,0.0,AETLE,3871,041
V536,2,ART AD AND ADAS PLATFORM,,"SENSOR,UNCOLOURED LONG 90 GRADER",0.0,,,2.0,AETGK,null,null
V536,2,ART AD AND ADAS PLATFORM,,ECU SOFTWARE STRUCTURE ASDM,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,,FLANGE NUT M6*6,0.0,SYSTEM,Price imported from SI+/epic,1.0,AEKIF,null,null
V536,2,ART AD AND ADAS PLATFORM,,SECONDARY BOOTLOADER ASDM,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,999234.0,FLANGE SCREW M6*25,3.0,SYSTEM,Price imported from SI+/epic,0.0,AEKIF,3880,010
V536,2,ART AD AND ADAS PLATFORM,,SENSOR BLACK LONG 90 DEGREES,0.0,SYSTEM,Price imported from SI+/epic,4.0,AETGK,null,null
