COST CARR;D1;D1 TITLE;Product Stream;SU;SU TITLE;KU;KU TITLE;KU STATUS;RESP DEPT;PSSNO;PSS NAME;ART no;ART name;CMNO;CM NAME;FGRP;FGRP NAME;POS;PARTNO;PARTNO SUFF;PART NAME;DONOR;SYS PARTS/ CAR;Product Module
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292284;EXTERIOR FRONT AND REAR ;307274;Hood and fender systems ;DECID ;93520;700;ART EXTERIOR FRONT & REAR ;700;EXTERIOR FRONT AND REAR ;2;P8 US Inscription 7 seats;8210;BONNET ;50;30622598;000 ;FLANGE SCREW M6*14*17,2 ;MBOM ;4.0;Exterior Front & Rear 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292284;EXTERIOR FRONT AND REAR ;307274;Hood and fender systems ;DECID ;93520;700;ART EXTERIOR FRONT & REAR ;700;EXTERIOR FRONT AND REAR ;2;P8 US Inscription 7 seats;8250;FRONT FENDER ;10;30622598;000 ;FLANGE SCREW M6*14*17,2 ;MBOM ;12.0;Exterior Front & Rear 
MEP2P ;292253;ELECTRIC PROPULSION ;ELECTRIC PROPULSION ;292300;THERMAL MANAGEMENT ;302178;Cooling system V536 ;DECID ;97400;830;ART THERMAL MANAGEMENT ;830;THERMAL MANAGEMENT ;2;P8 US Inscription 7 seats;2681;;50;30622624;000 ;RETAINER 22 ;MBOM ;1.0;Thermal Exchange & Distribution 
V536X ;292248;SOFTWARE AND ELECTRONICS PLATFORM ;SOFTWARE AND ELECTRONICS PLATFORM ;292271;CORE SYSTEM COMPONENTS ;292340;Core system components ;DECID ;94200;590;ART CORE SYSTEM COMPONENTS ;590;CORE SYSTEM COMPONENTS ;2;P8 US Inscription 7 seats;3725;;50;30622876;000 ;SIX POINT SOCKET SCREW M5;MBOM ;3.0;Computing Infrastructure 
V536X ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292292;BODY CONTROL AND ROAD CONTACT ;280313;Tuning & control ;DECID ;92520;640;ART BODY CONTROL & ROAD CONTACT ;640;BODY CONTROL AND ROAD CONTACT ;2;P8 US Inscription 7 seats;7612;SHOCK ABSORBER ;10;30622916;000 ;SEMS SCREW M8*30*MATHREAD;MBOM ;4.0;Body Control 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292284;EXTERIOR FRONT AND REAR ;280390;Front trim ;DECID ;93530;700;ART EXTERIOR FRONT & REAR ;700;EXTERIOR FRONT AND REAR ;2;P8 US Inscription 7 seats;2670;COLD ZONE/BATTERY BO;40;30622921;000 ;PLASTIC RIVET 7,8-8,8*17 ;MBOM ;2.0;Exterior Front & Rear 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292285;EXTERIOR SYSTEMS ;280364;Wiper ;DECID ;93750;730;ART EXTERIOR SYSTEMS ;730;EXTERIOR SYSTEMS ;2;P8 US Inscription 7 seats;3667;VISIBILITY CONTROL ;50;30622995;000 ;SEMS SCREW M6*20*21,87 MA;MBOM ;2.0;Visibility & Cleaning 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292284;EXTERIOR FRONT AND REAR ;307274;Hood and fender systems ;DECID ;93520;700;ART EXTERIOR FRONT & REAR ;700;EXTERIOR FRONT AND REAR ;2;P8 US Inscription 7 seats;8240;FRONT SECTION ;10;30622995;000 ;SEMS SCREW M6*20*21,87 MA;MBOM ;6.0;Exterior Front & Rear 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292284;EXTERIOR FRONT AND REAR ;280391;Rear bumper and aero ;DECID ;93550;700;ART EXTERIOR FRONT & REAR ;700;EXTERIOR FRONT AND REAR ;2;P8 US Inscription 7 seats;8916;SPOILER,PAINTED ;10;30622995;000 ;SEMS SCREW M6*20*21,87 MA;MBOM ;6.0;Exterior Front & Rear 
MEP2P ;292253;ELECTRIC PROPULSION ;ELECTRIC PROPULSION ;292302;BATTERY SYSTEM AND CELL ;302193;Battery cell and module ;DECID ;97400;890;ART BATTERY SYSTEM & CELL ;890;BATTERY CELL AND MODULE ;2;P8 US Inscription 7 seats;3116;;10;30624330;000 ;SEMS SCREW M6*30 ;MBOM ;68.0;High Voltage Energy Storage 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292284;EXTERIOR FRONT AND REAR ;280390;Front trim ;DECID ;93530;700;ART EXTERIOR FRONT & REAR ;700;EXTERIOR FRONT AND REAR ;2;P8 US Inscription 7 seats;8216;COVER ;10;30624357;000 ;SEMS SCREW M6*20 ;MBOM ;2.0;Exterior Front & Rear 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292282;INTERIOR TRIM & SYSTEMS ;265569;Acoustics & floor systems ;DECID ;93640;660;ART INTERIOR TRIM & SYSTEMS ;660;INTERIOR TRIM AND SYSTEMS ;2;P8 US Inscription 7 seats;8553;CLOTHING,STOWAGE COM;55;30624357;000 ;SEMS SCREW M6*20 ;MBOM ;2.0;Interior Trim 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292282;INTERIOR TRIM & SYSTEMS ;265569;Acoustics & floor systems ;DECID ;93640;660;ART INTERIOR TRIM & SYSTEMS ;660;INTERIOR TRIM AND SYSTEMS ;2;P8 US Inscription 7 seats;8556;FLOOR HATCH ;10;30624357;000 ;SEMS SCREW M6*20 ;MBOM ;4.0;Interior Trim 
SPAG2 ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292290;CLIMATE ;265493;Additional heaters SPAG2 ;DECID ;92320;600;ART CLIMATE ;600;CLIMATE ;2;P8 US Inscription 7 seats;8760;AUXILIARY HEATER ;40;30624357;000 ;SEMS SCREW M6*20 ;MBOM ;3.0;Refrigerant and Heater 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292282;INTERIOR TRIM & SYSTEMS ;280331;Interior rear trim & systems ;DECID ;93620;660;ART INTERIOR TRIM & SYSTEMS ;660;INTERIOR TRIM AND SYSTEMS ;2;P8 US Inscription 7 seats;8844;CARGO RESTRAINTS ;10;30624357;000 ;SEMS SCREW M6*20 ;MBOM ;8.0;Interior Trim 
SPAG2 ;303991;ELECTRIC PROPULSION ;ELECTRIC PROPULSION ;303992;BATTERY STRUCTURAL HARDWARE ;325000;Battery structural hardware ;CANCE ;30770;840;ART BATTERY STRUCTURAL HARDWARE ;840;BATTERY STRUCTURAL HARDWARE ;2;P8 US Inscription 7 seats;3113;HV BATTERY ;40;30624362;000 ;FLANGE SCREW M6*16*19,3 M;MBOM ;12.0;High Voltage Storage 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292282;INTERIOR TRIM & SYSTEMS ;280331;Interior rear trim & systems ;DECID ;93620;660;ART INTERIOR TRIM & SYSTEMS ;660;INTERIOR TRIM AND SYSTEMS ;2;P8 US Inscription 7 seats;8512;UPHOLSTERY PANEL,SID;60;30624362;000 ;FLANGE SCREW M6*16*19,3 M;MBOM ;2.0;Interior Trim 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292284;EXTERIOR FRONT AND REAR ;307274;Hood and fender systems ;DECID ;93520;700;ART EXTERIOR FRONT & REAR ;700;EXTERIOR FRONT AND REAR ;2;P8 US Inscription 7 seats;8213;BONNET LOCK ;35;30624364;000 ;FLANGE SCREW M6*20*23,3 M;MBOM ;2.0;Exterior Front & Rear 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292282;INTERIOR TRIM & SYSTEMS ;280332;Compartment trim & roof systems ;DECID ;93630;660;ART INTERIOR TRIM & SYSTEMS ;660;INTERIOR TRIM AND SYSTEMS ;2;P8 US Inscription 7 seats;8512;UPHOLSTERY PANEL,SID;30;30624413;000 ;FLANGE SCREW M6*30 MATHRE;MBOM ;2.0;Interior Trim 
SPAG2 ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292292;BODY CONTROL AND ROAD CONTACT ;280310;Front Axle ;DECID ;92510;640;ART BODY CONTROL & ROAD CONTACT ;640;BODY CONTROL AND ROAD CONTACT ;2;P8 US Inscription 7 seats;6120;FRONT AXLE MEMBER/CO;25;30624632;000 ;FLANGE LOCK NUT M12*13,8 ;MBOM ;2.0;Body Control 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292284;EXTERIOR FRONT AND REAR ;280387;Exterior side trim ;DECID ;93540;700;ART EXTERIOR FRONT & REAR ;700;EXTERIOR FRONT AND REAR ;2;P8 US Inscription 7 seats;8254;WHEEL ARCH LINER ;50;30640602;000 ;SIX POINT SOCKET SCREW PF;MBOM ;46.0;Exterior Front & Rear 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292284;EXTERIOR FRONT AND REAR ;280387;Exterior side trim ;DECID ;93540;700;ART EXTERIOR FRONT & REAR ;700;EXTERIOR FRONT AND REAR ;2;P8 US Inscription 7 seats;8264;WHEEL ARCH LINER ;50;30640602;000 ;SIX POINT SOCKET SCREW PF;MBOM ;30.0;Exterior Front & Rear 
SPAG2 ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292283;INTERIOR ROOM ;280348;Cockpit metal structure ;DECID ;93320;670;ART INTERIOR ROOM ;670;INTERIOR ROOM ;2;P8 US Inscription 7 seats;8814;CROSSMEMBER ;201;30640734;000 ;SEMS SCREW M8*30 ;MBOM ;2.0;Interior Room 
V536X ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292292;BODY CONTROL AND ROAD CONTACT ;280313;Tuning & control ;DECID ;92520;640;ART BODY CONTROL & ROAD CONTACT ;640;BODY CONTROL AND ROAD CONTACT ;2;P8 US Inscription 7 seats;7622;ANTI-ROLL BAR ;30;30640745;000 ;FLANGE LOCK NUT M12*19,8 ;MBOM ;4.0;Body Control 
SPAG2 ;303991;ELECTRIC PROPULSION ;ELECTRIC PROPULSION ;303992;BATTERY STRUCTURAL HARDWARE ;325000;Battery structural hardware ;CANCE ;30770;840;ART BATTERY STRUCTURAL HARDWARE ;840;BATTERY STRUCTURAL HARDWARE ;2;P8 US Inscription 7 seats;3113;HV BATTERY ;49;30640812;000 ;SEMS SCREW M6*20 ;MBOM ;2.0;High Voltage Storage 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292285;EXTERIOR SYSTEMS ;280363;Front Lighting ;DECID ;93730;730;ART EXTERIOR SYSTEMS ;730;EXTERIOR SYSTEMS ;2;P8 US Inscription 7 seats;3520;LIGHTING,FRONT ;10;30640812;000 ;SEMS SCREW M6*20 ;MBOM ;6.0;Visibility & Cleaning 
V536X ;292248;SOFTWARE AND ELECTRONICS PLATFORM ;SOFTWARE AND ELECTRONICS PLATFORM ;292271;CORE SYSTEM COMPONENTS ;292340;Core system components ;DECID ;94200;590;ART CORE SYSTEM COMPONENTS ;590;CORE SYSTEM COMPONENTS ;2;P8 US Inscription 7 seats;3726;;100;30640812;000 ;SEMS SCREW M6*20 ;MBOM ;2.0;
V536X ;292248;SOFTWARE AND ELECTRONICS PLATFORM ;SOFTWARE AND ELECTRONICS PLATFORM ;292268;ELECTRICAL INFRASTRUCTURE ;186836;EDS Components ;DECID ;94100;510;ART ELECTRICAL INFRASTRUCTURE ;510;ELECTRICAL INFRASTRUCTURE ;2;P8 US Inscription 7 seats;3730;CABLE SYSTEM,FRONT ;15;30640812;000 ;SEMS SCREW M6*20 ;MBOM ;1.0;Electrical Distribution 
SPAG2 ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292294;PAINTED BODY ;280380;Front structure ;DECID ;92720;760;ART PAINTED BODY ;760;PAINTED BODY ;2;P8 US Inscription 7 seats;8111;FLOOR,FRONT ;110;30640812;000 ;SEMS SCREW M6*20 ;MBOM ;6.0;
SPAG2 ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292294;PAINTED BODY ;280382;Rear floor ;DECID ;92730;760;ART PAINTED BODY ;760;PAINTED BODY ;2;P8 US Inscription 7 seats;8113;FLOOR,REAR ;110;30640812;000 ;SEMS SCREW M6*20 ;MBOM ;2.0;
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292281;SEATS AND SAFETY ;280362;Airbag & steering wheel ;DECID ;93440;650;ART SEATS & SAFETY ;650;SEATS AND SAFETY ;2;P8 US Inscription 7 seats;8864;FRONT AIRBAGS ;30;30640812;000 ;SEMS SCREW M6*20 ;MBOM ;6.0;Belts and Airbags 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292282;INTERIOR TRIM & SYSTEMS ;280332;Compartment trim & roof systems ;DECID ;93630;660;ART INTERIOR TRIM & SYSTEMS ;660;INTERIOR TRIM AND SYSTEMS ;2;P8 US Inscription 7 seats;8554;CLOTHING,ROOF ;151;30640816;000 ;SEMS SCREW M5*20 ;MBOM ;2.0;Interior Trim 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292282;INTERIOR TRIM & SYSTEMS ;280332;Compartment trim & roof systems ;DECID ;93630;660;ART INTERIOR TRIM & SYSTEMS ;660;INTERIOR TRIM AND SYSTEMS ;2;P8 US Inscription 7 seats;8822;SUN VISOR ;151;30640816;000 ;SEMS SCREW M5*20 ;MBOM ;4.0;Interior Trim 
SPAG2 ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292291;DECELERATION AND STEERING ;280304;Foundation ;DECID ;92410;620;ART DECELERATION & STEERING ;620;DECELERATION AND STEERING ;2;P8 US Inscription 7 seats;5100;WHEEL BRAKE ;30;30640831;000 ;SEMS SCREW M5*14 ;MBOM ;8.0;Friction Braking 
MEP2P ;292253;ELECTRIC PROPULSION ;ELECTRIC PROPULSION ;292300;THERMAL MANAGEMENT ;302178;Cooling system V536 ;DECID ;97400;830;ART THERMAL MANAGEMENT ;830;THERMAL MANAGEMENT ;2;P8 US Inscription 7 seats;2681;;50;30640895;000 ;RETAINER 22 ;MBOM ;6.0;Thermal Exchange & Distribution 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292285;EXTERIOR SYSTEMS ;280364;Wiper ;DECID ;93750;730;ART EXTERIOR SYSTEMS ;730;EXTERIOR SYSTEMS ;2;P8 US Inscription 7 seats;3631;WINDSCREEN WIPER ;10;30640905;000 ;SEMS SCREW M6*30*31,85 MA;MBOM ;1.0;Visibility & Cleaning 
MEP2P ;292253;ELECTRIC PROPULSION ;ELECTRIC PROPULSION ;292300;THERMAL MANAGEMENT ;302178;Cooling system V536 ;DECID ;97400;830;ART THERMAL MANAGEMENT ;830;THERMAL MANAGEMENT ;2;P8 US Inscription 7 seats;2680;;30;30640912;000 ;FLANGE SCREW M6*20 ;MBOM ;1.0;Thermal Exchange & Distribution 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292284;EXTERIOR FRONT AND REAR ;307274;Hood and fender systems ;DECID ;93520;700;ART EXTERIOR FRONT & REAR ;700;EXTERIOR FRONT AND REAR ;2;P8 US Inscription 7 seats;8213;BONNET LOCK ;10;30640912;000 ;FLANGE SCREW M6*20 ;MBOM ;6.0;Exterior Front & Rear 
SPAG2 ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292292;BODY CONTROL AND ROAD CONTACT ;265486;Rear Axle ;DECID ;92510;640;ART BODY CONTROL & ROAD CONTACT ;640;BODY CONTROL AND ROAD CONTACT ;2;P8 US Inscription 7 seats;6500;REAR WHEEL SUSPENSIO;91;30640924;000 ;FLANGE SCREW M12*100 ;MBOM ;2.0;Body Control 
V536X ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292292;BODY CONTROL AND ROAD CONTACT ;280313;Tuning & control ;DECID ;92520;640;ART BODY CONTROL & ROAD CONTACT ;640;BODY CONTROL AND ROAD CONTACT ;2;P8 US Inscription 7 seats;7612;SHOCK ABSORBER ;10;30640924;000 ;FLANGE SCREW M12*100 ;MBOM ;2.0;Body Control 
V536X ;292247;SAFE VEHICLE AUTOMATION ;SAFE VEHICLE AUTOMATION ;292262;AD AND ADAS PLATFORM ;281186;AD & ADAS platform ;DECID ;96200;420;ART AD & ADAS PLATFORM ;420;AD AND ADAS PLATFORM ;2;P8 US Inscription 7 seats;3877;;50;30640943;000 ;SIX POINT SOCKET SCREW ST;MBOM ;2.0;External Perception Input 
V536X ;292249;CONNECTED EXPERIENCE ;CONNECTED EXPERIENCE ;333775;HW & MECHATRONICS ;333776;HW & Mechatronics ;DECID ;95600;450;ART HW & MECHATRONICS ;430;INFOTAINMENT PLATFORM ;2;P8 US Inscription 7 seats;3956;AUDIO SYSTEM ;80;30640943;000 ;SIX POINT SOCKET SCREW ST;MBOM ;4.0;HMI Mechatronics 
V536X ;292249;CONNECTED EXPERIENCE ;CONNECTED EXPERIENCE ;333775;HW & MECHATRONICS ;333776;HW & Mechatronics ;DECID ;95600;450;ART HW & MECHATRONICS ;430;INFOTAINMENT PLATFORM ;2;P8 US Inscription 7 seats;3956;AUDIO SYSTEM ;95;30640943;000 ;SIX POINT SOCKET SCREW ST;MBOM ;2.0;HMI Mechatronics 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292283;INTERIOR ROOM ;280347;Cockpit functional parts ;DECID ;93350;670;ART INTERIOR ROOM ;670;INTERIOR ROOM ;2;P8 US Inscription 7 seats;8810;DASHBOARD ;20;30640943;000 ;SIX POINT SOCKET SCREW ST;MBOM ;8.0;Interior Room 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292283;INTERIOR ROOM ;186947;Instrument Panel Assembly ;DECID ;93320;670;ART INTERIOR ROOM ;670;INTERIOR ROOM ;2;P8 US Inscription 7 seats;8810;DASHBOARD ;35;30640943;000 ;SIX POINT SOCKET SCREW ST;MBOM ;4.0;
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292283;INTERIOR ROOM ;280346;Cockpit trim parts ;DECID ;93350;670;ART INTERIOR ROOM ;670;INTERIOR ROOM ;2;P8 US Inscription 7 seats;8810;DASHBOARD ;100;30640943;000 ;SIX POINT SOCKET SCREW ST;MBOM ;2.0;Interior Room 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292285;EXTERIOR SYSTEMS ;307278;Washer ;DECID ;93750;730;ART EXTERIOR SYSTEMS ;730;EXTERIOR SYSTEMS ;2;P8 US Inscription 7 seats;3634;WASHER ;10;30640947;000 ;SIX POINT SOCKET SCREW PF;MBOM ;2.0;Visibility & Cleaning 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292285;EXTERIOR SYSTEMS ;307279;Sensor cleaning ;DECID ;93750;730;ART EXTERIOR SYSTEMS ;730;EXTERIOR SYSTEMS ;2;P8 US Inscription 7 seats;3691;;10;30640947;000 ;SIX POINT SOCKET SCREW PF;MBOM ;2.0;Visibility & Cleaning 
SPAG2 ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292292;BODY CONTROL AND ROAD CONTACT ;265486;Rear Axle ;DECID ;92510;640;ART BODY CONTROL & ROAD CONTACT ;640;BODY CONTROL AND ROAD CONTACT ;2;P8 US Inscription 7 seats;6500;REAR WHEEL SUSPENSIO;81;30640958;000 ;SEMS NUT M10*12,7 ;MBOM ;4.0;Body Control 
SPAG2 ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292294;PAINTED BODY ;280380;Front structure ;DECID ;92720;760;ART PAINTED BODY ;760;PAINTED BODY ;2;P8 US Inscription 7 seats;8111;FLOOR,FRONT ;250;30640958;000 ;SEMS NUT M10*12,7 ;MBOM ;4.0;Body Structure 
SPAG2 ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292294;PAINTED BODY ;280382;Rear floor ;DECID ;92730;760;ART PAINTED BODY ;760;PAINTED BODY ;2;P8 US Inscription 7 seats;8113;FLOOR,REAR ;460;30640958;000 ;SEMS NUT M10*12,7 ;MBOM ;6.0;Body Structure 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292284;EXTERIOR FRONT AND REAR ;280395;Front bumper and aero ;DECID ;93510;700;ART EXTERIOR FRONT & REAR ;700;EXTERIOR FRONT AND REAR ;2;P8 US Inscription 7 seats;8611;BUMPER,FRONT ;10;30640995;000 ;SEMS SCREW M6*20*21,87 MA;MBOM ;4.0;Exterior Front & Rear 
SPAG2 ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292290;CLIMATE ;265491;Air condition SPAG2 ;DECID ;92320;600;ART CLIMATE ;600;CLIMATE ;2;P8 US Inscription 7 seats;8740;COOLING UNIT ;50;30640995;000 ;SEMS SCREW M6*20*21,87 MA;MBOM ;1.0;Refrigerant and Heater 
SPAG2 ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292292;BODY CONTROL AND ROAD CONTACT ;265486;Rear Axle ;DECID ;92510;640;ART BODY CONTROL & ROAD CONTACT ;640;BODY CONTROL AND ROAD CONTACT ;2;P8 US Inscription 7 seats;6500;REAR WHEEL SUSPENSIO;81;30670573;000 ;PRESS SCREW M10*110 ;MBOM ;2.0;Body Control 
V536X ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292292;BODY CONTROL AND ROAD CONTACT ;280313;Tuning & control ;DECID ;92520;640;ART BODY CONTROL & ROAD CONTACT ;640;BODY CONTROL AND ROAD CONTACT ;2;P8 US Inscription 7 seats;7621;ANTI-ROLL BAR ;10;30670581;000 ;SEMS SCREW M8*57 ;MBOM ;2.0;Body Control 
SPAG2 ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292292;BODY CONTROL AND ROAD CONTACT ;280310;Front Axle ;DECID ;92510;640;ART BODY CONTROL & ROAD CONTACT ;640;BODY CONTROL AND ROAD CONTACT ;2;P8 US Inscription 7 seats;6100;FRONT SUSPENSION ;30;30670602;000 ;SEMS SCREW M10*65 ;MBOM ;2.0;Body Control 
SPAG2 ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292292;BODY CONTROL AND ROAD CONTACT ;265486;Rear Axle ;DECID ;92510;640;ART BODY CONTROL & ROAD CONTACT ;640;BODY CONTROL AND ROAD CONTACT ;2;P8 US Inscription 7 seats;6500;REAR WHEEL SUSPENSIO;81;30670602;000 ;SEMS SCREW M10*65 ;MBOM ;2.0;Body Control 
V536X ;292250;VEHICLE TOPHAT ;VEHICLE TOPHAT ;292281;SEATS AND SAFETY ;280339;Rear seat ;DECID ;93400;650;ART SEATS & SAFETY ;650;SEATS AND SAFETY ;2;P8 US Inscription 7 seats;8560;REAR SEAT ;401;30670621;000 ;FLANGE SCREW M12*40*46,15;MBOM ;1.0;Seats 
SPAG2 ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292292;BODY CONTROL AND ROAD CONTACT ;265486;Rear Axle ;DECID ;92510;640;ART BODY CONTROL & ROAD CONTACT ;640;BODY CONTROL AND ROAD CONTACT ;2;P8 US Inscription 7 seats;6500;REAR WHEEL SUSPENSIO;85;30741283;000 ;ECCENTRIC WASHER ;MBOM ;2.0;Body Control 
SPAG2 ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292292;BODY CONTROL AND ROAD CONTACT ;280310;Front Axle ;DECID ;92510;640;ART BODY CONTROL & ROAD CONTACT ;640;BODY CONTROL AND ROAD CONTACT ;2;P8 US Inscription 7 seats;6100;FRONT SUSPENSION ;30;30746608;000 ;TRIPLESQUARE SOCKET SCREW;MBOM ;8.0;Body Control 
SPAG2 ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292292;BODY CONTROL AND ROAD CONTACT ;265486;Rear Axle ;DECID ;92510;640;ART BODY CONTROL & ROAD CONTACT ;640;BODY CONTROL AND ROAD CONTACT ;2;P8 US Inscription 7 seats;6500;REAR WHEEL SUSPENSIO;81;30746608;000 ;TRIPLESQUARE SOCKET SCREW;MBOM ;8.0;Body Control 
SPAG2 ;292251;VEHICLE PLATFORM ;VEHICLE PLATFORM ;292292;BODY CONTROL AND ROAD CONTACT ;265486;Rear Axle ;DECID ;92510;640;ART BODY CONTROL & ROAD CONTACT ;640;BODY CONTROL AND ROAD CONTACT ;2;P8 US Inscription 7 seats;6500;REAR WHEEL SUSPENSIO;82;30746634;000 ;SEMS SCREW M14*80*81,8 ;MBOM ;2.0;Body Control 
