Name,Coating,Material,Thickness,State,Weight,Art,Fgrp,Pos,VariantRule,CADPart.Id,CADPart.CarryOver,CADPart.KdpMatch
NAUO1,,Mixed,,0,11.9753,700,8210,50,V536310VSOPCHPLV,id323050,False,Uncertain
NAUO2,,Mixed,,0,0.586623,700,8210,50,V536310VSOPCHPLV,id323050,False,Uncertain
NAUO3,,Mixed,,0,41.451,700,8210,50,V536310VSOPCHPLV,id323050,False,Uncertain
NAUO4,,Mixed,,0,1.31376,700,8210,50,V536310VSOPCHPLV,id323050,False,Uncertain
NAUO5,,Mixed,,0,90.6241,700,8210,50,V536310VSOPCHPLV,id323050,False,Uncertain
NAUO6,,Mixed,,0,116.097,700,8210,50,V536310VSOPCHPLV,id323050,False,Uncertain
NAUO7,,Mixed,,0,41.4515,700,8210,50,V536310VSOPCHPLV,id323050,False,Uncertain
NAUO8,,Mixed,,0,1.31376,700,8210,50,V536310VSOPCHPLV,id323050,False,Uncertain
NAUO1,,Mixed,,0,11.9753,700,8210,50,V536310VSOPCHPLV,id323073,False,Uncertain
NAUO2,,Mixed,,0,0.586623,700,8210,50,V536310VSOPCHPLV,id323073,False,Uncertain
NAUO3,,Mixed,,0,41.451,700,8210,50,V536310VSOPCHPLV,id323073,False,Uncertain
NAUO4,,Mixed,,0,1.31376,700,8210,50,V536310VSOPCHPLV,id323073,False,Uncertain
NAUO5,,Mixed,,0,90.6241,700,8210,50,V536310VSOPCHPLV,id323073,False,Uncertain
NAUO6,,Mixed,,0,116.097,700,8210,50,V536310VSOPCHPLV,id323073,False,Uncertain
NAUO7,,Mixed,,0,41.4515,700,8210,50,V536310VSOPCHPLV,id323073,False,Uncertain
NAUO8,,Mixed,,0,1.31376,700,8210,50,V536310VSOPCHPLV,id323073,False,Uncertain
PartBody,UC,ALUMINIUM-AL6-200-T851-IH-E ACCORDING TO VCS 1145.1 OTHER REQUIREMENTS VCS 1140.1,0.8mm,0,891.47,700,8250,10,V536310VSOPCHPLV,id326826,False,OK
PartBody,UC,ALUMINIUM TO AL6-160-T851-F1-U ACCORDING TO VCS 1145.1 OTHER REQUIREMENTS VCS 1140.1,1.2mm,0,269.442,700,8250,10,V536310VSOPCHPLV,id326835,False,OK
PartBody,UC,ALUMINIUM TO AL6-160-T851-F1-U ACCORDING TO VCS 1145.1 OTHER REQUIREMENTS VCS 1140.1,1.2mm,0,18.2205,700,8250,10,V536310VSOPCHPLV,id326844,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,0.742690887986526,700,8250,10,V536310VSOPCHPLV,id326853,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,0.742690887986526,700,8250,10,V536310VSOPCHPLV,id326862,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,0.742690887986526,700,8250,10,V536310VSOPCHPLV,id326867,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,0.742690887986526,700,8250,10,V536310VSOPCHPLV,id326872,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,0.742690887986526,700,8250,10,V536310VSOPCHPLV,id326877,False,OK
PartBody,UC,ALUMINIUM-AL6-200-T851-IH-E ACCORDING TO VCS 1145.1 OTHER REQUIREMENTS VCS 1140.1,0.8mm,0,891.47,700,8250,10,V536310VSOPCHPLV,id326977,False,OK
PartBody,UC,ALUMINIUM TO AL6-160-T851-F1-U ACCORDING TO VCS 1145.1 OTHER REQUIREMENTS VCS 1140.1,1.2mm,0,269.442,700,8250,10,V536310VSOPCHPLV,id326986,False,OK
PartBody,UC,ALUMINIUM TO AL6-160-T851-F1-U ACCORDING TO VCS 1145.1 OTHER REQUIREMENTS VCS 1140.1,1.2mm,0,18.2205,700,8250,10,V536310VSOPCHPLV,id326995,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,0.742690887986526,700,8250,10,V536310VSOPCHPLV,id327004,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,0.742690887986526,700,8250,10,V536310VSOPCHPLV,id327009,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,0.742690887986526,700,8250,10,V536310VSOPCHPLV,id327014,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,0.742690887986526,700,8250,10,V536310VSOPCHPLV,id327019,False,OK
,,"Steel xxxx,xx STD xxxx,xx",,0,0.742690887986526,700,8250,10,V536310VSOPCHPLV,id327024,False,OK
PartBody,,Steel,,0,6.41162769634909,700,8250,10,V536310VSOPCHPLV,id327143,False,OK
PartBody,,Steel,,0,6.41162769634909,700,8250,10,V536310VSOPCHPLV,id327152,False,OK
,,Steel,,0,3.71255770748082,830,2681,50,V536310VSOPCHPLV,id397781,True,OK
,,Steel,,0,3.71255770748082,830,2681,50,V536310VSOPCHPLV,id397819,True,OK
,,Steel,,0,3.71255770748082,830,2681,50,V536310VSOPCHPLV,id397850,True,OK
PartBody,,Steel,,0,7.49154344562067,830,2681,50,V536310VSOPCHPLV,id397862,True,OK
PartBody,,Plastic,,0,2.93608792950805,830,2681,50,V536310VSOPCHPLV,id397881,True,OK
PartBody,,Steel,,0,6.038029161402,830,2681,50,V536310VSOPCHPLV,id397941,True,CollectorAssy Inherited
PartBody,,Steel,,0,6.038029161402,830,2681,50,V536310VSOPCHPLV,id397946,True,CollectorAssy Inherited
PartBody,,Steel,,0,6.038029161402,830,2681,50,V536310VSOPCHPLV,id397951,True,CollectorAssy Inherited
PartBody,,Steel,,0,6.038029161402,830,2681,50,V536310VSOPCHPLV,id397956,True,CollectorAssy Inherited
PartBody,,Screw property class 8.8,,0,8.38313782239768,830,2681,50,V536310VSOPCHPLV,id397982,True,OK
PartBody,,Steel,,0,7.49154344562067,830,2681,50,V536310VSOPCHPLV,id398048,True,OK
,,Steel,,0,3.71255770748082,830,2681,50,V536310VSOPCHPLV,id398067,True,OK
PartBody,,Steel,,0,14.8321189294988,590,3725,50,V536310VSOPCHPLV,id236364,False,OK
PartBody,,PA6-GF30,,0,699.36653083615,700,2670,40,V536310VSOPCHPLV,id319615,True,OK
TPE part,,SANTOPRENE 121-62 M100,,1,2.01597026236062,700,2670,40,V536310VSOPCHPLV,id319624,True,OK
PP part,,Plastic_PP GF15,,1,2.01597026236062,700,2670,40,V536310VSOPCHPLV,id319624,True,OK
TPE,,SANTOPRENE 121-62 M100,,1,2.697972622704335,700,2670,40,V536310VSOPCHPLV,id319629,True,OK
PP,,Plastic_PP GF15,,1,2.697972622704335,700,2670,40,V536310VSOPCHPLV,id319629,True,OK
PartBody,,VDA 239-CR4,,0,223.039124293827,700,2670,40,V536310VSOPCHPLV,id319634,True,OK
,,Plastic,,0,1.46157801015115,700,2670,40,V536310VSOPCHPLV,id319674,True,Wrong Revision
,,Plastic,,0,1.46157801015115,700,2670,40,V536310VSOPCHPLV,id319683,True,Wrong Revision
,,Plastic,,0,1.46157801015115,700,2670,40,V536310VSOPCHPLV,id319688,True,Wrong Revision
,,Plastic,,0,1.46157801015115,700,2670,40,V536310VSOPCHPLV,id319693,True,Wrong Revision
,,Plastic,,0,1.46157801015115,700,2670,40,V536310VSOPCHPLV,id319698,True,Wrong Revision
PartBody,,Plastic,,0,0.721475507685498,700,8240,10,V536310VSOPCHPLV,id326233,False,No_part_match
PartBody,,Plastic,,0,0.721475507685498,700,8240,10,V536310VSOPCHPLV,id326242,False,No_part_match
PartBody,,Plastic,,0,0.721475507685498,700,8240,10,V536310VSOPCHPLV,id326247,False,No_part_match
PartBody,,Plastic,,0,0.721475507685498,700,8240,10,V536310VSOPCHPLV,id326261,False,No_part_match
PartBody,,Plastic,,0,0.721475507685498,700,8240,10,V536310VSOPCHPLV,id326266,False,No_part_match
PartBody,,Plastic,,0,0.721475507685498,700,8240,10,V536310VSOPCHPLV,id326271,False,No_part_match
PartBody,,"Aluminium XXXX,XX_STD XXXX,XX",,0,1.98617688535636,700,8240,10,V536310VSOPCHPLV,id326347,False,No_part_match
